model,price,transmission,mileage,fuelType,tax,mpg,engineSize,age
 A1,12500,Manual,15735,Petrol,150,55.4,1.4,8
 A6,16500,Automatic,36203,Diesel,20,64.2,2.0,9
 A1,11000,Manual,29946,Petrol,30,55.4,1.4,9
 A4,16800,Automatic,25952,Diesel,145,67.3,2.0,8
 A3,17300,Manual,1998,Petrol,145,49.6,1.0,6
 A1,13900,Automatic,32260,Petrol,30,58.9,1.4,9
 A6,13250,Automatic,76788,Diesel,30,61.4,2.0,9
 A4,11750,Manual,75185,Diesel,20,70.6,2.0,9
 A3,10200,Manual,46112,Petrol,20,60.1,1.4,10
 A1,12000,Manual,22451,Petrol,30,55.4,1.4,9
 A3,16100,Manual,28955,Petrol,145,58.9,1.4,8
 A6,16500,Automatic,52198,Diesel,125,57.6,2.0,9
 Q3,17000,Manual,44915,Diesel,145,52.3,2.0,9
 A3,16400,Manual,21695,Petrol,30,58.9,1.4,8
 A6,15400,Manual,47348,Diesel,30,61.4,2.0,10
 A3,14500,Automatic,26156,Petrol,145,58.9,1.4,8
 Q3,15700,Automatic,28396,Diesel,145,53.3,2.0,9
 A3,13900,Automatic,30516,Petrol,30,56.5,1.4,11
 Q5,19000,Automatic,37652,Diesel,200,47.1,2.0,9
 Q3,17000,Manual,34110,Petrol,145,47.9,1.4,11
 A5,17300,Automatic,37100,Diesel,145,67.3,2.0,8
 Q5,20200,Automatic,23714,Diesel,200,47.1,2.0,9
 A5,22500,Automatic,21649,Diesel,145,58.9,3.0,8
 A6,17500,Automatic,62748,Diesel,150,53.3,3.0,10
 Q5,20000,Automatic,23789,Diesel,200,47.1,2.0,9
 A4,18500,Automatic,17418,Diesel,145,62.8,2.0,8
 A5,19500,Automatic,33300,Diesel,145,61.4,2.0,8
 A1,15800,Manual,10793,Petrol,145,56.5,1.4,7
 A4,17200,Automatic,25138,Diesel,145,70.6,2.0,7
 A6,14000,Manual,61176,Diesel,30,62.8,2.0,10
 A1,9500,Automatic,54754,Diesel,0,76.3,1.6,10
 Q3,16500,Manual,21369,Petrol,125,51.4,1.4,8
 Q3,15000,Automatic,39190,Diesel,205,47.9,2.0,11
 Q3,16000,Automatic,47482,Petrol,150,47.9,1.4,8
 Q3,16900,Automatic,40501,Diesel,150,51.4,2.0,9
 Q3,12300,Automatic,43195,Diesel,200,47.9,2.0,11
 A1,10800,Manual,31447,Petrol,145,67.3,1.0,8
 A6,19400,Automatic,34030,Diesel,125,58.9,2.0,9
 A4,16000,Manual,29063,Diesel,145,70.6,2.0,8
 A3,17100,Manual,29545,Diesel,145,65.7,2.0,8
 A3,11300,Manual,75619,Diesel,20,68.9,2.0,10
 Q3,17200,Automatic,39603,Diesel,160,50.4,2.0,9
 Q3,20300,Automatic,42908,Diesel,145,51.4,2.0,8
 A5,13200,Automatic,83872,Diesel,125,58.9,2.0,11
 Q3,15200,Automatic,58750,Petrol,145,47.9,1.4,9
 A3,15700,Manual,2029,Petrol,145,49.6,1.0,6
 A6,16600,Automatic,22958,Petrol,145,50.4,1.8,7
 A4,14400,Automatic,32097,Diesel,145,72.4,2.0,8
 A5,20200,Automatic,13057,Petrol,145,53.3,2.0,8
 S4,23700,Automatic,20278,Petrol,145,38.7,3.0,8
 A4,12750,Manual,52561,Diesel,0,74.3,2.0,9
 A6,13000,Automatic,31604,Diesel,20,67.3,2.0,10
 Q3,15900,Manual,32011,Petrol,145,49.6,1.4,9
 Q3,15000,Manual,39134,Diesel,30,60.1,2.0,9
 Q5,14700,Automatic,89483,Diesel,205,47.1,2.0,10
 A3,15000,Automatic,56291,Petrol,200,42.8,1.8,10
 A6,16000,Automatic,47767,Diesel,20,61.4,2.0,9
 A1,11000,Manual,34315,Petrol,125,53.3,1.4,11
 A3,10200,Manual,66369,Diesel,0,83.1,1.6,9
 A6,18500,Manual,34110,Diesel,30,61.4,2.0,9
 A1,7000,Manual,76269,Diesel,0,74.3,1.6,12
 A3,10600,Manual,37840,Diesel,20,70.6,1.6,9
 A3,16000,Manual,26249,Diesel,30,67.3,1.6,8
 Q3,15000,Manual,44898,Diesel,125,57.7,2.0,8
 Q3,14000,Manual,67161,Petrol,150,51.4,1.4,8
 A3,18950,Manual,17992,Petrol,150,54.3,1.5,7
 A4,10200,Manual,97440,Diesel,20,70.6,2.0,9
 A1,11700,Manual,19268,Petrol,150,67.3,1.0,8
 A3,11500,Automatic,51441,Petrol,125,50.4,1.8,12
 A1,10800,Manual,18181,Petrol,0,67.3,1.0,9
 A3,12500,Manual,19494,Diesel,30,67.3,2.0,9
 A6,16600,Manual,32808,Diesel,30,61.4,2.0,9
 A3,13100,Manual,25965,Diesel,145,65.7,2.0,8
 A3,8300,Manual,88215,Diesel,20,68.9,2.0,9
 A3,16000,Manual,5704,Petrol,145,49.6,1.0,6
 A4,16900,Manual,10959,Petrol,145,51.4,1.4,8
 Q5,19600,Automatic,30201,Diesel,200,47.1,2.0,9
 Q3,21800,Automatic,19319,Petrol,145,40.4,2.0,8
 A6,16200,Manual,22582,Diesel,145,61.4,2.0,8
 A5,18700,Manual,20052,Petrol,145,49.6,2.0,8
 Q3,16100,Manual,16666,Diesel,30,60.1,2.0,9
 A3,11300,Manual,25626,Diesel,0,74.3,1.6,9
 A3,14100,Manual,10460,Petrol,20,60.1,1.4,9
 A6,16600,Automatic,43307,Diesel,125,57.6,2.0,9
 A1,11300,Manual,29327,Petrol,30,55.4,1.4,8
 Q3,15600,Manual,36714,Petrol,125,51.4,1.4,8
 A1,10000,Manual,28324,Petrol,125,53.3,1.4,11
 A1,14500,Manual,12100,Petrol,30,56.5,1.4,9
 Q3,16100,Manual,18001,Diesel,145,62.8,2.0,8
 A1,10600,Manual,28760,Petrol,30,55.4,1.4,9
 A3,25499,Semi-Auto,4000,Petrol,145,44.1,1.5,6
 Q2,25499,Semi-Auto,7897,Diesel,145,47.9,2.0,6
 A6,15500,Automatic,24744,Diesel,125,56.5,3.0,9
 Q3,16200,Automatic,30075,Diesel,160,51.4,2.0,10
 A1,14000,Manual,12577,Petrol,30,58.9,1.4,8
 A6,17300,Automatic,24421,Diesel,30,61.4,2.0,9
 A1,10600,Manual,15567,Diesel,0,76.3,1.6,9
 A4,17500,Manual,15207,Petrol,145,51.4,1.4,7
 A4,15000,Manual,14864,Petrol,145,52.3,1.4,8
 A4,25499,Semi-Auto,9000,Petrol,145,38.7,2.0,6
 A4,25000,Manual,5000,Petrol,145,38.7,2.0,6
 Q2,31000,Semi-Auto,4264,Petrol,145,33.2,2.0,6
 Q3,28000,Manual,4000,Diesel,145,42.8,2.0,6
 Q3,28000,Manual,4000,Petrol,145,42.2,1.5,6
 Q2,21499,Manual,2721,Diesel,145,49.6,1.6,6
 Q2,26000,Semi-Auto,4000,Petrol,145,42.2,1.5,6
 Q5,30000,Semi-Auto,49649,Diesel,235,42.2,3.0,9
 A4,17000,Manual,14068,Petrol,145,51.4,1.4,8
 A4,14500,Manual,23092,Petrol,145,52.3,1.4,8
 Q3,17500,Automatic,30682,Diesel,160,50.4,2.0,8
 A1,10500,Manual,18272,Petrol,0,67.3,1.0,9
 Q2,14800,Automatic,23714,Diesel,145,68.9,1.6,8
 A6,12000,Automatic,71311,Diesel,30,61.4,2.0,9
 A6,22000,Automatic,29477,Diesel,145,61.4,2.0,7
 Q5,17800,Automatic,60551,Diesel,200,47.1,2.0,9
 A6,19800,Automatic,42071,Diesel,30,61.4,2.0,8
 A7,19500,Automatic,55774,Diesel,235,44.8,3.0,11
 A1,9800,Manual,36462,Diesel,0,76.3,1.6,9
 A3,15500,Manual,25376,Petrol,30,57.6,1.4,9
 A4,16800,Automatic,39388,Diesel,145,67.3,2.0,8
 A3,11500,Manual,64207,Diesel,20,67.3,2.0,8
 A1,12100,Manual,49221,Petrol,145,55.4,1.4,8
 A1,12700,Manual,27179,Diesel,0,76.3,1.6,8
 A4,11700,Manual,31376,Diesel,125,58.9,2.0,11
 A5,11500,Automatic,62668,Diesel,145,53.3,2.0,10
 A4,17400,Manual,10001,Petrol,145,51.4,1.4,8
 A6,16000,Automatic,52544,Diesel,30,61.4,2.0,9
 A4,13100,Manual,63097,Petrol,125,49.6,2.0,9
 A6,14700,Manual,72967,Diesel,30,61.4,2.0,9
 A5,21100,Automatic,32771,Diesel,145,70.6,2.0,8
 Q3,24400,Automatic,13303,Petrol,145,40.4,2.0,7
 A3,18750,Manual,2752,Petrol,145,44.8,1.5,6
 Q3,16500,Manual,23307,Diesel,160,49.6,2.0,9
 A1,11000,Manual,34551,Petrol,150,67.3,1.0,8
 A3,13400,Manual,25457,Diesel,150,68.9,1.6,8
 Q2,20000,Manual,12167,Petrol,150,50.4,1.4,7
 A6,15400,Automatic,23237,Diesel,20,67.3,2.0,10
 Q3,15500,Automatic,11863,Diesel,160,50.4,2.0,9
 A4,14800,Manual,21225,Diesel,145,72.4,2.0,8
 A6,17100,Automatic,32083,Diesel,30,61.4,2.0,10
 Q5,25750,Automatic,17039,Diesel,145,55.4,2.0,8
 A4,11750,Manual,72026,Diesel,0,74.3,2.0,9
 A1,11200,Manual,34824,Petrol,0,67.3,1.0,8
 A1,12800,Manual,20351,Petrol,30,55.4,1.4,8
 A4,16000,Automatic,58028,Petrol,145,52.3,2.0,8
 A5,20000,Automatic,44783,Diesel,145,62.8,2.0,8
 A4,11950,Manual,60604,Diesel,20,67.3,2.0,11
 A4,9400,Manual,39998,Diesel,30,65.7,2.0,12
 A4,20000,Automatic,20852,Diesel,30,65.7,2.0,8
 A6,13300,Manual,79728,Diesel,30,64.2,2.0,9
 A6,18500,Automatic,29095,Diesel,20,64.2,2.0,8
 A3,8300,Manual,98940,Diesel,0,74.3,1.6,12
 A1,13500,Manual,22780,Petrol,30,58.9,1.4,9
 A5,19800,Manual,20832,Petrol,150,47.1,2.0,7
 Q3,15400,Automatic,29196,Diesel,145,55.4,2.0,9
 A4,13900,Manual,14392,Petrol,145,53.3,1.4,8
 A4,15600,Manual,20070,Petrol,145,52.3,1.4,7
 A6,16200,Automatic,89334,Diesel,30,62.8,3.0,9
 A1,10600,Manual,21428,Petrol,0,67.3,1.0,9
 A4,14300,Manual,45485,Diesel,20,70.6,2.0,9
 Q3,14700,Manual,32704,Diesel,30,60.1,2.0,9
 Q3,19100,Automatic,42209,Petrol,145,42.2,2.0,7
 A4,18100,Manual,17278,Petrol,145,48.7,1.4,8
 A1,11400,Manual,29515,Petrol,0,67.3,1.0,8
 A3,11600,Manual,43662,Diesel,20,67.3,2.0,11
 A4,17300,Automatic,45225,Diesel,145,62.8,2.0,8
 A6,16400,Manual,45491,Diesel,30,61.4,2.0,8
 Q5,17100,Manual,52267,Petrol,235,37.7,2.0,11
 A3,11498,Semi-Auto,40807,Petrol,125,50.4,1.8,11
 Q3,11698,Manual,65959,Diesel,160,49.6,2.0,11
 Q5,18998,Semi-Auto,47648,Petrol,260,35.8,2.0,11
 Q5,25498,Semi-Auto,27948,Petrol,145,40.9,2.0,8
 A4,10498,Manual,31169,Petrol,145,49.6,1.8,12
 A4,9498,Automatic,42011,Petrol,145,47.1,2.0,12
 A6,19998,Semi-Auto,56115,Diesel,160,50.4,3.0,10
 A6,16798,Semi-Auto,65835,Diesel,125,61.4,2.0,10
 A6,23998,Semi-Auto,63383,Diesel,145,45.6,3.0,8
 Q5,36998,Semi-Auto,34011,Petrol,145,34.0,3.0,8
 A5,13998,Semi-Auto,52132,Diesel,160,49.6,3.0,11
 A4,15995,Manual,38787,Diesel,145,55.4,2.0,10
 A1,13495,Manual,34554,Petrol,150,55.4,1.4,8
 Q5,30985,Semi-Auto,17502,Petrol,145,40.4,2.0,8
 TT,29485,Automatic,3000,Petrol,145,40.9,2.0,6
 A6,16985,Manual,34646,Diesel,30,61.4,2.0,10
 Q5,26485,Semi-Auto,18000,Diesel,150,56.5,2.0,8
 Q3,23985,Semi-Auto,17085,Petrol,150,47.9,1.4,7
 A1,12485,Manual,48166,Diesel,20,72.4,1.6,8
 Q5,22485,Semi-Auto,38421,Diesel,205,47.1,2.0,10
 A5,16498,Manual,46637,Diesel,30,61.4,2.0,10
 A3,11998,Manual,24468,Diesel,0,74.3,1.6,9
 Q5,24985,Automatic,29343,Diesel,200,47.1,2.0,8
 A3,17985,Manual,8449,Diesel,145,51.4,1.6,6
 A5,20485,Manual,34679,Diesel,30,65.7,2.0,8
 A3,16985,Semi-Auto,23860,Petrol,145,60.1,1.0,7
 A4,30985,Automatic,21009,Petrol,145,35.8,3.0,7
 A6,29985,Automatic,1881,Diesel,145,47.9,2.0,6
 A6,27985,Semi-Auto,688,Diesel,145,47.9,2.0,6
 A6,30985,Automatic,1863,Diesel,145,47.9,2.0,6
 Q7,62985,Semi-Auto,10,Diesel,145,33.2,3.0,5
 RS6,44985,Semi-Auto,49050,Petrol,325,29.4,4.0,9
 A4,28985,Semi-Auto,1024,Petrol,145,38.7,2.0,6
 A4,24985,Semi-Auto,448,Petrol,145,39.8,2.0,6
 A4,26985,Semi-Auto,476,Petrol,145,39.2,2.0,6
 A7,39985,Automatic,5201,Diesel,145,38.7,3.0,6
 A3,21985,Semi-Auto,2028,Petrol,145,42.2,1.5,6
 A6,45485,Automatic,3241,Diesel,145,39.2,3.0,6
 Q5,33985,Automatic,355,Diesel,145,39.2,2.0,6
 A5,28985,Automatic,18,Petrol,145,39.8,2.0,6
 A3,29985,Automatic,3122,Petrol,145,41.5,1.5,6
 Q2,28985,Manual,824,Petrol,145,40.9,1.5,6
 A6,31985,Semi-Auto,2811,Diesel,145,47.9,2.0,6
 A6,31985,Semi-Auto,27,Diesel,145,50.4,2.0,6
 A4,29485,Semi-Auto,4254,Petrol,145,38.2,2.0,6
 A1,17985,Semi-Auto,2252,Petrol,145,48.7,1.0,6
 Q2,20985,Automatic,3422,Diesel,145,47.9,1.6,6
 Q2,23685,Automatic,37,Diesel,145,47.9,1.6,6
 A4,27985,Semi-Auto,7299,Petrol,145,38.2,2.0,6
 Q2,27985,Semi-Auto,1414,Petrol,145,40.9,1.5,6
 Q5,36985,Automatic,5135,Diesel,145,38.2,2.0,6
 Q5,37985,Automatic,6024,Diesel,145,38.2,2.0,6
 Q5,37985,Semi-Auto,10,Petrol,145,32.1,2.0,5
 Q7,49985,Automatic,10,Diesel,145,33.2,3.0,6
 Q7,59995,Automatic,10,Diesel,145,33.2,3.0,6
 Q5,47895,Semi-Auto,10,Petrol,145,30.7,2.0,5
 A4,31985,Semi-Auto,10,Petrol,145,42.2,2.0,5
 Q7,29985,Automatic,47606,Diesel,200,47.9,3.0,10
 A1,12485,Semi-Auto,26625,Petrol,30,57.6,1.4,10
 A5,24985,Automatic,5071,Petrol,145,50.4,2.0,7
 A5,21985,Semi-Auto,28011,Petrol,260,34.9,3.0,10
 Q3,34985,Automatic,10,Diesel,145,47.1,2.0,6
 A5,29985,Automatic,10,Diesel,145,51.4,2.0,6
 Q3,34485,Automatic,10,Diesel,145,47.1,2.0,6
 A1,19685,Manual,10,Petrol,145,49.6,1.0,6
 A4,34985,Automatic,10,Diesel,145,53.3,2.0,6
 A7,43885,Semi-Auto,10,Diesel,145,38.2,3.0,6
 A6,35895,Automatic,2000,Diesel,145,47.9,2.0,6
