iter	Passed	Remaining
0	120	179983
1	237	177741
2	351	175324
3	477	178433
4	581	173839
5	685	170766
6	787	167919
7	888	165679
8	991	164209
9	1096	163383
10	1188	160869
11	1280	158775
12	1371	156848
13	1468	155828
14	1556	154062
15	1654	153464
16	1754	153093
17	1851	152446
18	1949	151927
19	2051	151840
20	2156	151890
21	2257	151660
22	2357	151389
23	2459	151233
24	2558	150954
25	2660	150825
26	2762	150700
27	2866	150691
28	2964	150392
29	3068	150372
30	3185	150956
31	3283	150622
32	3382	150372
33	3477	149953
34	3576	149709
35	3666	149118
36	3807	150541
37	3981	153200
38	4088	153161
39	4177	152484
40	4275	152133
41	4384	152196
42	4487	152044
43	4590	151893
44	4708	152232
45	4805	151900
46	4902	151562
47	5006	151454
48	5097	150963
49	5188	150457
50	5290	150301
51	5390	150107
52	5499	150148
53	5601	149986
54	5733	150622
55	5839	150572
56	5928	150074
57	6039	150151
58	6139	149939
59	6240	149781
60	6337	149505
61	6438	149338
62	6536	149096
63	6644	149089
64	6740	148813
65	6853	148903
66	6961	148884
67	7063	148742
68	7181	148945
69	7285	148839
70	7391	148760
71	7493	148611
72	7596	148501
73	7688	148152
74	7779	147801
75	7880	147662
76	7978	147451
77	8065	147043
78	8174	147040
79	8266	146730
80	8362	146492
81	8464	146370
82	8561	146157
83	8660	145987
84	8755	145756
85	8855	145594
86	8948	145330
87	9050	145226
88	9167	145336
89	9275	145317
90	9368	145056
91	9459	144774
92	9560	144637
93	9652	144381
94	9752	144239
95	9851	144084
96	9949	143901
97	10059	143909
98	10160	143788
99	10248	143479
100	10347	143326
101	10448	143202
102	10554	143153
103	10651	142981
104	10741	142703
105	10847	142661
106	10944	142485
107	11044	142356
108	11145	142231
109	11251	142181
110	11357	142126
111	11453	141947
112	11563	141937
113	11664	141812
114	11769	141748
115	11877	141714
116	11972	141518
117	12066	141317
118	12167	141203
119	12275	141168
120	12376	141047
121	12478	140942
122	12591	140967
123	12702	140961
124	12801	140820
125	12891	140582
126	12982	140350
127	13087	140282
128	13188	140170
129	13294	140101
130	13396	140002
131	13500	139909
132	13608	139872
133	13710	139760
134	13815	139694
135	13930	139713
136	14033	139621
137	14138	139541
138	14237	139406
139	14338	139284
140	14437	139157
141	14542	139076
142	14659	139108
143	14751	138911
144	14856	138830
145	14951	138656
146	15057	138587
147	15168	138570
148	15201	137837
149	15302	137720
150	15395	137544
151	15503	137489
152	15615	137480
153	15730	137489
154	15823	137311
155	15910	137071
156	16006	136923
157	16092	136683
158	16187	136525
159	16276	136313
160	16369	136140
161	16459	135942
162	16563	135858
163	16658	135706
164	16752	135546
165	16854	135448
166	16943	135247
167	17031	135032
168	17119	134832
169	17213	134669
170	17320	134615
171	17427	134557
172	17546	134590
173	17640	134429
174	17742	134334
175	17844	134239
176	17945	134134
177	18051	134071
178	18155	133984
179	18271	133990
180	18371	133879
181	18469	133751
182	18565	133608
183	18663	133482
184	18763	133371
185	18867	133289
186	18961	133139
187	19058	133003
188	19158	132891
189	19264	132825
190	19377	132801
191	19468	132625
192	19570	132530
193	19665	132389
194	19779	132373
195	19890	132335
196	19988	132210
197	20099	132169
198	20202	132079
199	20308	132002
200	20420	131974
201	20531	131929
202	20632	131825
203	20742	131774
204	20844	131678
205	20944	131562
206	21041	131430
207	21144	131340
208	21235	131174
209	21324	130994
210	21430	130920
211	21525	130779
212	21623	130651
213	21709	130460
214	21811	130362
215	21907	130230
216	21999	130070
217	22095	129940
218	22185	129771
219	22278	129619
220	22368	129456
221	22457	129280
222	22555	129163
223	22649	129021
224	22732	128815
225	22828	128688
226	22934	128613
227	23028	128476
228	23115	128296
229	23212	128172
230	23303	128016
231	23393	127860
232	23487	127717
233	23588	127619
234	23688	127512
235	23788	127410
236	23893	127329
237	23969	127098
238	24063	126960
239	24159	126837
240	24270	126788
241	24380	126739
242	24469	126576
243	24558	126416
244	24652	126280
245	24762	126227
246	24855	126091
247	24961	126013
248	25069	125949
249	25168	125843
250	25252	125660
251	25350	125546
252	25446	125423
253	25546	125319
254	25651	125237
255	25747	125116
256	25846	125010
257	25942	124885
258	26047	124807
259	26129	124617
260	26225	124496
261	26324	124386
262	26416	124249
263	26505	124094
264	26600	123966
265	26690	123821
266	26779	123666
267	26864	123495
268	26955	123355
269	27045	123205
270	27139	123077
271	27224	122912
272	27328	122826
273	27412	122656
274	27506	122529
275	27602	122412
276	27699	122297
277	27805	122225
278	27915	122169
279	28030	122133
280	28133	122045
281	28231	121937
282	28338	121867
283	28431	121733
284	28527	121618
285	28639	121566
286	28760	121556
287	28861	121457
288	28984	121454
289	29140	121588
290	29261	121570
291	29422	121719
292	29534	121666
293	29642	121594
294	29762	121571
295	29885	121561
296	29983	121447
297	30084	121347
298	30210	121347
299	30327	121310
300	30435	121234
301	30536	121133
302	30632	121015
303	30727	120887
304	30819	120751
305	30926	120674
306	31031	120587
307	31123	120453
308	31221	120338
309	31308	120182
310	31397	120037
311	31496	119928
312	31596	119822
313	31704	119749
314	31803	119642
315	31898	119520
316	31984	119362
317	32076	119228
318	32167	119089
319	32262	118967
320	32365	118875
321	32460	118754
322	32545	118593
323	32637	118461
324	32723	118306
325	32830	118229
326	32928	118119
327	33021	117991
328	33122	117893
329	33225	117800
330	33394	117940
331	33521	117931
332	33618	117817
333	33722	117727
334	33811	117584
335	33906	117461
336	33996	117323
337	34109	117264
338	34211	117166
339	34311	117062
340	34408	116949
341	34503	116827
342	34608	116739
343	34704	116622
344	34795	116488
345	34903	116413
346	35002	116306
347	35105	116210
348	35208	116117
349	35313	116028
350	35407	115906
351	35503	115789
352	35600	115676
353	35701	115577
354	35797	115459
355	35904	115379
356	36009	115291
357	36106	115176
358	36202	115061
359	36303	114959
360	36393	114827
361	36492	114720
362	36578	114570
363	36683	114484
364	36791	114406
365	36892	114307
366	36989	114193
367	37085	114078
368	37180	113959
369	37272	113833
370	37362	113698
371	37462	113594
372	37568	113511
373	37654	113366
374	37752	113258
375	37859	113174
376	37963	113083
377	38067	112994
378	38163	112878
379	38259	112765
380	38355	112651
381	38450	112532
382	38559	112457
383	38667	112377
384	38783	112321
385	38892	112243
386	38978	112101
387	39071	111978
388	39158	111837
389	39260	111741
390	39352	111617
391	39441	111482
392	39534	111360
393	39638	111269
394	39739	111168
395	39834	111054
396	39931	110942
397	40036	110854
398	40129	110732
399	40218	110600
400	40314	110488
401	40400	110348
402	40485	110204
403	40596	110132
404	40705	110055
405	40808	109962
406	40908	109859
407	40999	109733
408	41099	109632
409	41192	109510
410	41271	109354
411	41372	109256
412	41470	109148
413	41570	109046
414	41671	108947
415	41763	108825
416	41853	108699
417	41951	108592
418	42042	108467
419	42142	108365
420	42232	108238
421	42336	108149
422	42431	108034
423	42542	107960
424	42654	107890
425	42748	107773
426	42841	107656
427	42938	107548
428	43029	107422
429	43128	107320
430	43212	107177
431	43310	107073
432	43396	106937
433	43469	106769
434	43569	106670
435	43666	106563
436	43770	106471
437	43871	106372
438	43964	106256
439	44064	106154
440	44166	106059
441	44260	105944
442	44352	105824
443	44442	105700
444	44552	105625
445	44639	105493
446	44730	105371
447	44819	105246
448	44915	105136
449	45012	105029
450	45109	104922
451	45217	104840
452	45316	104738
453	45413	104630
454	45498	104496
455	45594	104386
456	45697	104293
457	45794	104186
458	45882	104061
459	45979	103954
460	46060	103811
461	46159	103708
462	46258	103606
463	46344	103477
464	46445	103379
465	46543	103274
466	46658	103208
467	46764	103120
468	46852	102994
469	46959	102911
470	47068	102831
471	47163	102721
472	47284	102665
473	47383	102564
474	47479	102455
475	47577	102352
476	47676	102248
477	47774	102146
478	47873	102044
479	47970	101936
480	48060	101816
481	48157	101711
482	48241	101576
483	48349	101493
484	48459	101414
485	48569	101337
486	48663	101224
487	48751	101099
488	48851	100999
489	48943	100883
490	49038	100773
491	49132	100660
492	49240	100579
493	49338	100474
494	49442	100382
495	49553	100305
496	49658	100216
497	49751	100101
498	49851	100002
499	49946	99892
500	50046	99793
501	50145	99692
502	50247	99596
503	50344	99490
504	50434	99370
505	50529	99261
506	50626	99155
507	50724	99052
508	50819	98944
509	50925	98856
510	51023	98752
511	51114	98635
512	51212	98532
513	51301	98411
514	51395	98299
515	51486	98183
516	51587	98086
517	51691	97993
518	51790	97892
519	51889	97792
520	51980	97675
521	52072	97561
522	52174	97464
523	52272	97363
524	52370	97259
525	52471	97162
526	52565	97052
527	52659	96941
528	52762	96847
529	52853	96732
530	52948	96624
531	53044	96516
532	53139	96409
533	53254	96336
534	53359	96247
535	53460	96148
536	53547	96026
537	53649	95930
538	53752	95837
539	53850	95733
540	53943	95623
541	54036	95510
542	54130	95401
543	54228	95298
544	54324	95191
